Birim_Id,Birim_Adi,Birim_Tur_Id,Birim_Tur_Adi,Yoksis_Id_x,Rapor_Sayisi,Yoksis_Id_y,Hedef_Sayisi,Yoksis_Id,Gerceklesen_Hedef,Planlama_Etkinligi,Rapor_Basina_Hedef,Ortalama_Hedef_Gerceklesme,Basari_Duzeyi
46068300.0,İLETİŞİM FAKÜLTESİ DEKANLIĞI,0,Tanımsız,46068300.0,1,46068300.0,600,,0,0.0,300.0,0.0,Orta
46232573.0,MADEN MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,46232573.0,2,46232573.0,476,,0,0.0,158.66666666666666,0.0,Orta
46702655.0,ENDÜSTRİ MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,46702655.0,2,46702655.0,362,,0,0.0,120.66666666666667,0.0,Orta
46769491.0,ANTRENÖRLÜK EĞİTİMİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,46769491.0,2,46769491.0,357,,0,0.0,119.0,0.0,Orta
47499371.0,ULUSLARARASI ÖĞRENCİ OFİSİ,0,Tanımsız,,0,47499371.0,357,,0,0.0,357.0,0.0,Orta
49072411.0,ÇEVRE SORUNLARI ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,49072411.0,375,,0,0.0,375.0,0.0,Orta
49457580.0,HUKUK FAKÜLTESİ DEKANLIĞI,0,Tanımsız,49457580.0,1,49457580.0,719,,0,0.0,359.5,0.0,Orta
49884491.0,BİYOMEDİKAL MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,49884491.0,2,49884491.0,357,,0,0.0,119.0,0.0,Orta
50269082.0,İLAHİYAT FAKÜLTESİ DEKANLIĞI,0,Tanımsız,,0,50269082.0,600,,0,0.0,600.0,0.0,Orta
50907043.0,UZAKTAN EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,50907043.0,342,,0,0.0,342.0,0.0,Orta
51087304.0,KOZAN MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,51087304.0,2,51087304.0,734,,0,0.0,244.66666666666666,0.0,Orta
51143002.0,ZOOTEKNİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,51143002.0,3,51143002.0,476,,0,0.0,119.0,0.0,Orta
51413145.0,MÜHENDİSLİK FAKÜLTESİ DEKANLIĞI,0,Tanımsız,51413145.0,1,51413145.0,920,,0,0.0,460.0,0.0,Orta
51440180.0,BİTKİ KORUMA BÖLÜM BAŞKANLIĞI,0,Tanımsız,51440180.0,1,51440180.0,357,,0,0.0,178.5,0.0,Orta
52739535.0,ULUSLARARASI ÖĞRENCİ KOORDİNASYON UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,52739535.0,1,52739535.0,373,,0,0.0,186.5,0.0,Orta
53492241.0,TÜRKÇE ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,53492241.0,1,53492241.0,357,,0,0.0,178.5,0.0,Orta
53493149.0,STRATEJİ GELİŞTİRME DAİRE BAŞKANLIĞI,0,Tanımsız,,0,53493149.0,586,,0,0.0,586.0,0.0,Orta
53592956.0,MALİYE BÖLÜM BAŞKANLIĞI,0,Tanımsız,53592956.0,1,53592956.0,476,,0,0.0,238.0,0.0,Orta
54572647.0,AİLE PLANLAMASI VE İNFERTİLİTE ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,54572647.0,16,,0,0.0,16.0,0.0,Orta
54960065.0,EĞİTİM KOORDİNATÖRLÜĞÜ,0,Tanımsız,,0,54960065.0,258,,0,0.0,258.0,0.0,Orta
55517630.0,GAZETECİLİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,55517630.0,357,,0,0.0,357.0,0.0,Orta
55801824.0,PAMUK ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,55801824.0,16,,0,0.0,16.0,0.0,Orta
56559381.0,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ DEKANLIĞI,0,Tanımsız,56559381.0,1,56559381.0,600,,0,0.0,300.0,0.0,Orta
56737980.0,TURİZM İŞLETMECİLİĞİ BÖLÜM BAŞKANLIĞI ,0,Tanımsız,56737980.0,1,56737980.0,238,,0,0.0,119.0,0.0,Orta
57135873.0,HEMŞİRELİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,57135873.0,2,57135873.0,357,,0,0.0,119.0,0.0,Orta
57429177.0,SUALTI UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,57429177.0,248,,0,0.0,248.0,0.0,Orta
57861215.0,BAĞIMLILIK VE ADLİ BİLİMLER ENSTİTÜSÜ MÜDÜRLÜĞÜ,0,Tanımsız,57861215.0,4,57861215.0,719,,0,0.0,143.8,0.0,Orta
57897348.0,PERSONEL DAİRE BAŞKANLIĞI,0,Tanımsız,57897348.0,2,57897348.0,710,,0,0.0,236.66666666666666,0.0,Orta
57912599.0,BİYOLOJİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,57912599.0,1,57912599.0,357,,0,0.0,178.5,0.0,Orta
57995506.0,SAĞLIK BİLİMLERİ FAKÜLTESİ DEKANLIĞI,0,Tanımsız,57995506.0,2,57995506.0,615,,0,0.0,205.0,0.0,Orta
58512220.0,GENETİK VE EMBRİYO MÜHENDİSLİĞİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,58512220.0,8,,0,0.0,8.0,0.0,Orta
59565534.0,BALCALI HASTANESİ BAŞHEKİMLİĞİ,0,Tanımsız,59565534.0,1,59565534.0,611,,0,0.0,305.5,0.0,Orta
60010129.0,SAĞLIK ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,60010129.0,135,,0,0.0,135.0,0.0,Orta
60162390.0,SINAV UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,60162390.0,248,,0,0.0,248.0,0.0,Orta
61617888.0,MAKİNE ALET CİHAZ TASARIM İMALAT ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,61617888.0,16,,0,0.0,16.0,0.0,Orta
62623089.0,FİZİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,62623089.0,2,62623089.0,357,,0,0.0,119.0,0.0,Orta
62761666.0,BİYOTEKNOLOJİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,62761666.0,492,,0,0.0,492.0,0.0,Orta
63210399.0,FEN BİLGİSİ ÖĞRETMENLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,63210399.0,2,63210399.0,476,,0,0.0,158.66666666666666,0.0,Orta
63363731.0,"İŞ SAĞLIĞI VE GÜVENLİĞİ EĞİTİM, UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ",0,Tanımsız,63363731.0,3,63363731.0,699,,0,0.0,174.75,0.0,Orta
64039391.0,FEN EDEBİYAT FAKÜLTESİ DEKANLIĞI,0,Tanımsız,64039391.0,1,64039391.0,734,,0,0.0,367.0,0.0,Orta
64744009.0,TUFANBEYLİ MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,64744009.0,2,64744009.0,600,,0,0.0,200.0,0.0,Orta
65822199.0,BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNATÖRLÜĞÜ,0,Tanımsız,,0,65822199.0,465,,0,0.0,465.0,0.0,Orta
66449092.0,EKONOMETRİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,66449092.0,2,66449092.0,357,,0,0.0,119.0,0.0,Orta
67678035.0,DİŞ HEKİMLİĞİ FAKÜLTESİ DEKANLIĞI,0,Tanımsız,,0,67678035.0,280,,0,0.0,280.0,0.0,Orta
68552214.0,TROPİKAL HASTALIKLAR ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,68552214.0,16,,0,0.0,16.0,0.0,Orta
68608914.0,TÜRK DİLİ VE EDEBİYATI BÖLÜM BAŞKANLIĞI,0,Tanımsız,68608914.0,3,68608914.0,357,,0,0.0,89.25,0.0,Orta
69258992.0,ORGAN NAKLİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,69258992.0,16,,0,0.0,16.0,0.0,Orta
